scenario,controller,controller_variant,seed,delay_ms,final_formation_rmse,max_formation_error,min_obstacle_distance,max_active_link_distance,input_peak,input_rms,rnn_error_available,saturation_ratio,communication_violation_samples,obstacle_violation_samples,finite,success
mass,barrier_pd,heuristic_barrier_pd,42,0.0,0.02074558447010894,5.2219666705003585,1.2304160767202053,4.123196276805818,20.0,1.0565642181613148,False,0.0004249150169966007,0,0,True,True
mass,full,engineering_stabilized,42,0.0,0.020656559701857435,5.2219666705003585,1.2304084421269017,4.123227988557767,20.0,1.0370516141213266,False,0.0004249150169966007,0,0,True,True
