scenario,controller,requested_controller,controller_variant,seed,delay_ms,final_formation_rmse,max_formation_error,min_obstacle_distance,max_active_link_distance,input_peak,input_rms,rnn_error_available,adp_diagnostics_available,adp_td_rms,adp_weight_peak,saturation_ratio,communication_violation_samples,communication_violation_steps,obstacle_violation_samples,obstacle_violation_steps,first_failure_time,finite,success
nominal,low_gain_pd,low_gain_pd,low_gain_pd_baseline,42,0.0,0.9804264265091979,5.22821749796922,0.1764798922504103,4.677560252307926,5.045,1.0496019873975093,False,False,0.0,0.0,0.0,0,0,255,255,1.02,True,False
nominal,heuristic_barrier_pd,heuristic_barrier_pd,heuristic_barrier_pd,42,0.0,0.020839490438305096,5.221967053545649,1.231409607250838,4.123196933596574,20.0,1.0567876794850404,False,False,0.0,0.0,0.0004249150169966007,0,0,0,0,,True,True
nominal,ordinary_adp,ordinary_adp,ordinary_adp_no_barrier_actor_critic,42,0.0,0.06296945269333827,5.222270132101266,0.23638457004655128,4.124771288364689,16.4690635730469,0.935756720210969,False,True,0.5525703279281369,1.5636495771111891,0.0,0,0,897,897,0.53,True,False
nominal,barrier_adp,barrier_adp,heuristic_barrier_adp_actor_critic,42,0.0,0.10222445978034654,5.222282003215801,1.4628458402998123,4.123116295608136,16.622054534597652,1.1919027752135614,False,True,0.7593227433653114,1.5636495771111891,0.0,0,0,0,0,,True,True
